"id","ReceiptNo","DOP","ClassRegisterID","Admission","Tuition","Transport","Uniform","Lunch","Exams","BookLvy","Activity","OtheLvy"
"53","6649","2020-12-14","30","0.00","0.00","900.00","0.00","100.00","0.00","0.00","0.00","0.00"
"54","6650","2020-12-15","33","0.00","200.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00"
"55","6651","2020-12-15","34","0.00","100.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"56","6652","2020-12-16","43","0.00","900.00","500.00","0.00","600.00","0.00","0.00","0.00","0.00"
"57","6653","2020-12-17","41","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"58","6654","2020-12-18","32","0.00","1500.00","1800.00","0.00","1700.00","0.00","0.00","0.00","0.00"
"59","6655","2020-12-18","31","0.00","1500.00","1800.00","0.00","1700.00","0.00","0.00","0.00","0.00"
"60","6664","2021-01-02","313","0.00","0.00","0.00","500.00","0.00","0.00","0.00","0.00","0.00"
"61","6667","2021-01-04","148","0.00","700.00","900.00","0.00","900.00","200.00","200.00","100.00","0.00"
"62","6668","2021-01-04","124","0.00","500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"63","6669","2021-01-04","238","0.00","1400.00","0.00","700.00","0.00","0.00","0.00","0.00","0.00"
"64","6670","2021-01-04","243","0.00","0.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"65","6671","2021-01-04","88","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"66","6672","2021-01-04","316","500.00","200.00","500.00","2400.00","900.00","0.00","0.00","0.00","300.00"
"67","6673","2021-01-04","315","500.00","2100.00","3300.00","2100.00","1800.00","200.00","200.00","100.00","300.00"
"68","6674","2021-01-04","280","0.00","2100.00","800.00","0.00","600.00","200.00","200.00","100.00","0.00"
"69","6675","2021-01-04","176","0.00","0.00","0.00","850.00","0.00","0.00","0.00","0.00","0.00"
"70","6676","2021-01-04","121","0.00","900.00","1100.00","0.00","600.00","200.00","200.00","100.00","0.00"
"71","6677","2021-01-04","206","0.00","900.00","1100.00","0.00","600.00","200.00","200.00","100.00","0.00"
"72","6678","2021-01-04","70","0.00","3200.00","0.00","800.00","0.00","0.00","0.00","0.00","0.00"
"73","6679","2021-01-04","235","0.00","0.00","0.00","400.00","0.00","0.00","0.00","0.00","0.00"
"74","6680","2021-01-04","151","0.00","800.00","1100.00","0.00","600.00","200.00","200.00","100.00","0.00"
"75","6681","2021-01-04","267","0.00","2100.00","2100.00","0.00","1800.00","200.00","200.00","100.00","50.00"
"79","6682","2021-01-04","142","0.00","2700.00","2100.00","0.00","1800.00","200.00","200.00","100.00","50.00"
"80","6683","2021-01-04","70","0.00","0.00","0.00","700.00","0.00","0.00","0.00","0.00","0.00"
"81","6684","2021-01-04","217","0.00","2400.00","1300.00","0.00","600.00","200.00","200.00","100.00","0.00"
"82","6685","2021-01-04","81","0.00","3300.00","1300.00","0.00","600.00","200.00","200.00","100.00","0.00"
"83","6686","2021-01-04","156","0.00","900.00","0.00","0.00","0.00","200.00","200.00","0.00","0.00"
"84","6687","2021-01-04","171","0.00","2400.00","900.00","0.00","600.00","200.00","200.00","100.00","0.00"
"85","6688","2021-01-04","262","0.00","1650.00","900.00","0.00","600.00","200.00","200.00","100.00","0.00"
"86","6689","2021-01-04","101","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"87","6690","2021-01-04","160","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"88","6691","2021-01-04","120","0.00","500.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"89","6692","2021-01-04","218","0.00","2000.00","900.00","0.00","600.00","200.00","200.00","100.00","0.00"
"90","6693","2021-01-04","140","0.00","2000.00","900.00","0.00","600.00","200.00","200.00","100.00","0.00"
"91","6694","2021-01-04","235","0.00","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"92","6695","2021-01-04","155","0.00","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"93","6696","2021-01-04","250","0.00","400.00","3300.00","0.00","1800.00","200.00","200.00","100.00","0.00"
"94","6697","2021-01-04","221","0.00","300.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"95","6698","2021-01-04","314","500.00","2100.00","3000.00","0.00","0.00","200.00","200.00","100.00","0.00"
"96","6700","2021-01-04","318","500.00","300.00","0.00","700.00","0.00","0.00","0.00","0.00","0.00"
"97","6744","2021-01-06","336","500.00","50.00","1100.00","0.00","600.00","200.00","200.00","100.00","250.00"
"99","6742","2021-01-06","332","500.00","2100.00","600.00","1400.00","600.00","200.00","200.00","100.00","100.00"
"101","6740","2021-01-06","167","0.00","1500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"102","6739","2021-01-06","295","0.00","150.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"103","6738","2021-01-06","133","0.00","850.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"104","6736","2021-01-06","252","0.00","1500.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"105","6735","2021-01-06","59","0.00","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"106","6734","2021-01-06","300","0.00","0.00","0.00","700.00","0.00","0.00","0.00","0.00","0.00"
"107","6733","2021-01-06","247","0.00","0.00","0.00","700.00","0.00","0.00","0.00","0.00","0.00"
"108","6732","2021-01-06","125","0.00","0.00","0.00","700.00","0.00","0.00","0.00","0.00","0.00"
"109","6731","2021-01-06","291","0.00","1500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"110","6730","2021-01-06","310","0.00","1200.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"111","6729","2021-01-05","202","0.00","1200.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"112","6728","2021-01-06","202","0.00","800.00","2700.00","0.00","1800.00","200.00","200.00","100.00","0.00"
"113","6727","2021-01-05","304","0.00","2100.00","700.00","0.00","600.00","200.00","200.00","100.00","0.00"
"114","6726","2021-01-05","331","500.00","0.00","700.00","700.00","600.00","200.00","200.00","100.00","100.00"
"115","6725","2021-01-05","333","500.00","0.00","700.00","700.00","600.00","200.00","200.00","100.00","0.00"
"116","6724","2021-01-05","268","0.00","1100.00","1300.00","0.00","600.00","200.00","200.00","100.00","0.00"
"117","6723","2021-01-05","248","0.00","1100.00","1300.00","0.00","600.00","200.00","200.00","100.00","0.00"
"118","6722","2021-01-05","92","0.00","2700.00","2100.00","0.00","1800.00","200.00","200.00","100.00","0.00"
"120","6720","2021-01-05","308","0.00","1500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"121","6719","2021-01-04","237","0.00","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"122","6718","2021-01-01","217","0.00","0.00","0.00","2400.00","0.00","0.00","0.00","0.00","0.00"
"123","6717","2021-01-05","157","0.00","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"124","6716","2021-01-05","96","0.00","1500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"125","6715","2021-01-05","196","0.00","1800.00","1100.00","0.00","600.00","200.00","200.00","100.00","0.00"
"126","6714","2021-01-05","98","0.00","1800.00","1100.00","0.00","600.00","200.00","200.00","100.00","0.00"
"127","6713","2021-01-05","326","500.00","0.00","0.00","1500.00","0.00","0.00","0.00","0.00","0.00"
"128","6712","2021-01-05","324","500.00","0.00","0.00","1500.00","0.00","0.00","0.00","0.00","0.00"
"129","6711","2021-01-05","329","0.00","0.00","400.00","0.00","600.00","0.00","0.00","0.00","0.00"
"130","6710","2021-01-05","329","500.00","2100.00","900.00","2250.00","600.00","200.00","200.00","100.00","50.00"
"131","6709","2021-01-05","266","0.00","1500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"132","6708","2021-01-05","194","0.00","0.00","900.00","0.00","600.00","200.00","200.00","100.00","0.00"
"133","6707","2021-01-05","328","500.00","150.00","700.00","3500.00","600.00","200.00","200.00","100.00","0.00"
"134","6706","2021-01-05","330","500.00","0.00","0.00","3250.00","0.00","0.00","200.00","0.00","50.00"
"135","6705","2021-01-05","325","500.00","0.00","0.00","500.00","0.00","0.00","0.00","0.00","0.00"
"136","6704","2021-01-05","323","500.00","2100.00","700.00","1400.00","600.00","200.00","200.00","100.00","100.00"
"137","6703","2021-01-05","317","500.00","0.00","0.00","1400.00","0.00","0.00","0.00","100.00","0.00"
"138","6702","2021-01-04","321","500.00","0.00","0.00","1400.00","100.00","200.00","200.00","100.00","0.00"
"139","6701","2021-01-05","195","0.00","900.00","0.00","0.00","0.00","0.00","0.00","100.00","0.00"
"140","6745","2021-01-06","322","500.00","1050.00","700.00","0.00","0.00","200.00","200.00","100.00","250.00"
"141","6746","2021-01-07","228","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00"
"142","6747","2021-01-07","84","0.00","2700.00","0.00","0.00","1800.00","200.00","200.00","100.00","0.00"
"143","6748","2021-01-07","316","0.00","0.00","600.00","0.00","900.00","200.00","200.00","100.00","0.00"
"144","6749","2021-01-07","325","0.00","0.00","0.00","600.00","0.00","0.00","0.00","0.00","0.00"
"145","6750","2021-01-07","294","0.00","500.00","0.00","0.00","600.00","200.00","200.00","100.00","0.00"
"146","6751","2021-01-07","119","0.00","1500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"147","6752","2021-01-06","309","0.00","3200.00","0.00","0.00","0.00","0.00","0.00","0.00","50.00"
"148","6753","2021-01-06","242","0.00","3200.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"150","6755","2021-01-06","327","0.00","0.00","0.00","1350.00","250.00","0.00","0.00","0.00","0.00"
"151","6756","2021-01-06","188","0.00","500.00","900.00","0.00","600.00","200.00","200.00","100.00","0.00"
"152","6757","2021-01-06","276","0.00","2500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"153","6758","2021-01-07","169","0.00","0.00","0.00","400.00","0.00","0.00","0.00","0.00","0.00"
"154","6759","2021-01-07","259","0.00","2700.00","700.00","0.00","600.00","200.00","200.00","100.00","0.00"
"155","6760","2021-01-07","183","0.00","2000.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"156","6761","2021-01-05","327","500.00","2100.00","1100.00","1450.00","600.00","0.00","0.00","0.00","50.00"
"157","6762","2021-01-07","212","0.00","700.00","700.00","0.00","600.00","200.00","200.00","100.00","0.00"
"158","6763","2021-01-07","87","0.00","1000.00","400.00","0.00","600.00","200.00","200.00","100.00","0.00"
"159","6764","2021-01-07","138","0.00","2700.00","1200.00","0.00","600.00","200.00","200.00","100.00","0.00"
"162","6766","2021-01-08","60","0.00","1900.00","0.00","0.00","600.00","200.00","200.00","100.00","0.00"
"163","6767","2021-01-08","295","0.00","0.00","0.00","400.00","0.00","0.00","0.00","0.00","0.00"
"164","6768","2021-01-08","176","0.00","2000.00","0.00","150.00","0.00","0.00","0.00","0.00","0.00"
"165","6770","2021-01-08","203","0.00","850.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"166","6771","2021-01-08","236","0.00","500.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"167","6773","2021-01-08","123","0.00","700.00","900.00","0.00","0.00","0.00","0.00","0.00","0.00"
"168","6774","2021-01-08","244","0.00","2500.00","900.00","0.00","600.00","200.00","200.00","100.00","0.00"
"169","6775","2021-01-08","63","0.00","3150.00","250.00","0.00","600.00","200.00","200.00","100.00","0.00"
"172","6765","2021-01-08","339","500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"175","6769","2021-01-08","340","500.00","0.00","0.00","700.00","0.00","0.00","0.00","50.00","250.00"
"177","6811","2021-01-11","346","500.00","1500.00","700.00","3300.00","600.00","200.00","200.00","100.00","50.00"
"179","6776","2021-01-09","296","0.00","0.00","900.00","0.00","600.00","0.00","0.00","0.00","0.00"
"180","6777","2021-01-08","348","0.00","0.00","700.00","1400.00","600.00","0.00","0.00","100.00","200.00"
"181","6778","2021-01-09","349","500.00","600.00","0.00","700.00","0.00","200.00","200.00","100.00","300.00"
"182","6779","2021-01-09","290","0.00","2100.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"183","6780","2021-01-12","367","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","200.00"
"185","6801","2021-01-11","177","0.00","500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"186","6803","2021-01-11","353","500.00","0.00","0.00","700.00","0.00","200.00","200.00","100.00","300.00"
"187","6802","2021-01-11","361","0.00","2900.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"188","6804","2021-01-11","175","0.00","4200.00","700.00","0.00","600.00","200.00","200.00","100.00","0.00"
"189","6805","2021-01-11","360","500.00","2100.00","2700.00","3300.00","1800.00","200.00","200.00","100.00","200.00"
"190","6806","2021-01-11","113","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"191","6808","2021-01-05","109","0.00","700.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"192","6809","2021-01-05","271","0.00","300.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"193","6810","2021-01-11","174","0.00","700.00","2700.00","0.00","1800.00","200.00","200.00","100.00","0.00"
"194","6812","2021-01-11","252","0.00","0.00","200.00","0.00","0.00","0.00","0.00","0.00","0.00"
"195","6813","2021-01-11","258","0.00","2100.00","700.00","0.00","600.00","200.00","200.00","100.00","0.00"
"196","6814","2021-01-11","279","0.00","1700.00","200.00","0.00","600.00","200.00","200.00","100.00","0.00"
"197","6815","2021-01-11","268","0.00","200.00","2600.00","0.00","1200.00","0.00","0.00","0.00","0.00"
"198","6816","2021-01-11","132","0.00","800.00","0.00","0.00","0.00","0.00","200.00","0.00","0.00"
"199","6817","2021-01-11","227","0.00","1700.00","0.00","0.00","0.00","0.00","200.00","100.00","0.00"
"200","6819","2021-01-11","356","500.00","2700.00","1350.00","3000.00","600.00","200.00","200.00","100.00","300.00"
"201","6820","2021-01-11","355","500.00","2700.00","1350.00","3000.00","600.00","200.00","200.00","100.00","300.00"
"202","6821","2021-01-11","357","500.00","2100.00","1350.00","3000.00","600.00","200.00","200.00","100.00","300.00"
"203","6822","2021-01-11","325","0.00","0.00","0.00","250.00","0.00","0.00","0.00","0.00","0.00"
"204","6823","2021-01-11","96","0.00","400.00","700.00","0.00","600.00","200.00","200.00","100.00","0.00"
"205","6824","2021-01-11","269","0.00","3500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"206","6825","2021-01-11","225","0.00","2400.00","1500.00","0.00","600.00","200.00","200.00","100.00","0.00"
"207","6826","2021-01-11","286","0.00","2500.00","1400.00","0.00","600.00","200.00","200.00","100.00","0.00"
"208","6827","2021-01-11","75","0.00","1500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"209","6828","2021-01-11","71","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"210","6829","2021-01-11","110","0.00","1500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"211","6830","2021-01-12","215","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"212","6831","2021-01-12","295","0.00","350.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"213","6832","2021-01-12","133","0.00","0.00","0.00","400.00","0.00","0.00","0.00","0.00","0.00"
"214","6833","2021-01-12","96","0.00","300.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"215","6834","2021-01-11","164","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"216","6835","2021-01-12","164","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"217","6836","2021-01-12","350","500.00","0.00","1400.00","0.00","0.00","0.00","0.00","0.00","100.00"
"218","6837","2021-01-12","352","500.00","0.00","0.00","1400.00","0.00","0.00","0.00","100.00","0.00"
"219","6838","2021-01-12","59","0.00","0.00","0.00","700.00","0.00","0.00","0.00","0.00","0.00"
"220","6839","2021-01-12","117","0.00","1300.00","100.00","0.00","600.00","200.00","200.00","100.00","0.00"
"221","6840","2021-01-06","332","0.00","0.00","0.00","1600.00","0.00","0.00","0.00","0.00","0.00"
"222","6841","2021-01-13","350","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","150.00"
"223","6842","2021-01-04","221","0.00","300.00","0.00","700.00","0.00","0.00","0.00","0.00","0.00"
"224","6843","2021-01-13","364","500.00","500.00","900.00","1400.00","600.00","200.00","200.00","100.00","300.00"
"225","6845","2021-01-13","97","0.00","0.00","0.00","0.00","500.00","200.00","200.00","100.00","0.00"
"226","6846","2021-01-13","187","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"227","6847","2021-01-13","340","0.00","0.00","0.00","0.00","0.00","0.00","200.00","50.00","0.00"
"228","6848","2021-01-13","248","0.00","800.00","1300.00","0.00","600.00","0.00","0.00","0.00","0.00"
"229","6849","2021-01-13","268","0.00","800.00","1300.00","0.00","600.00","0.00","0.00","0.00","0.00"
"230","6850","2021-01-13","287","0.00","2000.00","900.00","0.00","600.00","200.00","200.00","100.00","0.00"
"231","6851","2021-01-08","213","0.00","0.00","500.00","0.00","0.00","0.00","200.00","200.00","100.00"
"232","6852","2021-01-08","185","0.00","0.00","500.00","0.00","0.00","0.00","200.00","200.00","100.00"
"233","6853","2021-01-08","69","0.00","0.00","500.00","0.00","0.00","0.00","200.00","200.00","100.00"
"234","6854","2021-01-14","365","0.00","0.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"235","6855","2021-01-14","184","0.00","300.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"236","6856","2021-01-05","83","0.00","900.00","0.00","0.00","600.00","600.00","200.00","100.00","0.00"
"237","6857","2021-01-06","134","0.00","900.00","0.00","0.00","600.00","200.00","200.00","100.00","0.00"
"238","6858","2021-01-13","85","0.00","6700.00","700.00","0.00","600.00","200.00","200.00","100.00","0.00"
"239","6859","2021-01-14","362","0.00","0.00","350.00","0.00","600.00","0.00","0.00","0.00","50.00"
"240","6860","2021-01-14","169","0.00","1000.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"241","6861","2021-01-14","282","0.00","1500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"243","6863","2021-01-14","350","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","50.00"
"244","6864","2021-01-15","255","0.00","0.00","0.00","0.00","0.00","0.00","200.00","200.00","100.00"
"245","6865","2021-01-15","149","0.00","500.00","0.00","0.00","0.00","200.00","200.00","100.00","0.00"
"246","6866","2021-01-14","194","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"247","6867","2021-01-15","181","0.00","900.00","0.00","1600.00","0.00","200.00","200.00","100.00","0.00"
"248","6868","2021-01-15","106","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"249","6869","2021-01-15","288","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"250","6870","2021-01-15","205","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"251","6871","2021-01-14","305","0.00","500.00","1100.00","0.00","600.00","200.00","200.00","100.00","0.00"
"252","6872","2021-01-14","367","0.00","0.00","0.00","250.00","0.00","0.00","0.00","0.00","100.00"
"255","6873","2021-01-14","367","0.00","0.00","0.00","250.00","0.00","0.00","0.00","0.00","100.00"
"256","6874","2021-01-14","87","0.00","0.00","0.00","1600.00","0.00","0.00","0.00","0.00","0.00"
"257","6875","2021-01-14","362","0.00","2100.00","350.00","0.00","150.00","200.00","200.00","0.00","0.00"
"258","6876","2021-01-14","281","0.00","450.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"259","6878","2021-01-14","139","0.00","450.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"260","6879","2021-01-18","373","500.00","0.00","350.00","1550.00","600.00","0.00","0.00","0.00","0.00"
"261","6880","2021-01-18","300","0.00","0.00","0.00","0.00","0.00","200.00","0.00","0.00","0.00"
"262","6881","2021-01-18","247","0.00","0.00","0.00","0.00","0.00","200.00","0.00","0.00","0.00"
"263","6882","2021-01-18","234","0.00","200.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"264","6883","2021-01-18","257","0.00","500.00","0.00","500.00","0.00","0.00","0.00","0.00","0.00"
"265","6885","2021-01-18","284","0.00","0.00","0.00","0.00","0.00","200.00","0.00","0.00","0.00"
"266","6886","2021-01-18","130","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"267","6887","2021-01-18","177","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"268","6888","2021-01-18","176","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"269","6889","2021-01-18","200","0.00","200.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"273","6890","2021-01-18","66","0.00","900.00","0.00","0.00","0.00","0.00","0.00","100.00","0.00"
"274","6892","2021-01-18","71","0.00","1500.00","0.00","0.00","0.00","200.00","100.00","100.00","0.00"
"277","6884","2021-01-18","118","0.00","2600.00","1300.00","0.00","600.00","200.00","200.00","100.00","0.00"
"281","6895","2021-01-18","100","0.00","850.00","0.00","0.00","0.00","0.00","50.00","100.00","0.00"
"282","6896","2021-01-18","179","0.00","1250.00","250.00","0.00","0.00","200.00","200.00","100.00","0.00"
"283","6897","2021-01-18","266","0.00","700.00","0.00","0.00","0.00","0.00","200.00","100.00","0.00"
"284","6898","2021-01-18","143","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"285","6899","2021-01-18","131","0.00","0.00","0.00","200.00","0.00","0.00","0.00","0.00","0.00"
"286","6900","2021-01-18","129","0.00","0.00","0.00","200.00","0.00","0.00","0.00","0.00","0.00"
"287","6901","2021-01-18","65","0.00","3950.00","0.00","0.00","0.00","0.00","0.00","50.00","0.00"
"288","6902","2021-01-18","362","0.00","0.00","250.00","0.00","450.00","0.00","0.00","0.00","0.00"
"289","6903","2021-01-18","254","0.00","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"290","6904","2021-01-18","74","0.00","0.00","900.00","0.00","600.00","200.00","200.00","100.00","0.00"
